service_number,unit_id,unit_posting,service,rank,age,years_of_service,surge_exposure,latent_strain,label_positive
SYNTH-CRPF-02-279868,CRPF-02,left-wing extremism area,crpf,Inspector,46,24,0.3738,0.372469,0
SYNTH-CRPF-02-453449,CRPF-02,left-wing extremism area,crpf,Sub-Inspector,42,18,0.9518,0.156287,0
SYNTH-CRPF-02-668207,CRPF-02,left-wing extremism area,crpf,Sub-Inspector,41,18,0.8762,0.575695,1
SYNTH-CRPF-02-242129,CRPF-02,left-wing extremism area,crpf,Assistant Commandant,49,28,0.449,0.338508,0
SYNTH-CRPF-02-108881,CRPF-02,left-wing extremism area,crpf,Sub-Inspector,36,15,0.9691,0.27132,0
SYNTH-CRPF-02-965034,CRPF-02,left-wing extremism area,crpf,Sub-Inspector,39,17,0.5431,0.09183,0
SYNTH-CRPF-02-269856,CRPF-02,left-wing extremism area,crpf,Inspector,43,22,0.6505,0.060554,0
SYNTH-CRPF-02-665838,CRPF-02,left-wing extremism area,crpf,Sub-Inspector,41,17,0.6213,0.23447,0
SYNTH-CRPF-02-926416,CRPF-02,left-wing extremism area,crpf,Assistant Sub-Inspector,36,13,0.255,0.202448,0
SYNTH-CRPF-02-103960,CRPF-02,left-wing extremism area,crpf,Sub-Inspector,40,18,0.6523,0.348678,0
SYNTH-CRPF-02-167814,CRPF-02,left-wing extremism area,crpf,Constable,23,1,0.4907,0.089755,0
SYNTH-CRPF-02-308691,CRPF-02,left-wing extremism area,crpf,Assistant Commandant,51,28,0.6707,0.312801,0
SYNTH-CRPF-02-158018,CRPF-02,left-wing extremism area,crpf,Sub-Inspector,38,16,0.7524,0.429985,0
SYNTH-CRPF-02-925105,CRPF-02,left-wing extremism area,crpf,Sub-Inspector,40,17,0.4355,0.180802,0
SYNTH-CRPF-02-102494,CRPF-02,left-wing extremism area,crpf,Inspector,47,24,0.6438,0.477391,0
SYNTH-CRPF-02-283405,CRPF-02,left-wing extremism area,crpf,Assistant Commandant,51,27,0.6765,0.247501,0
SYNTH-CRPF-02-258738,CRPF-02,left-wing extremism area,crpf,Head Constable,30,6,0.5715,0.096287,0
SYNTH-CRPF-02-874894,CRPF-02,left-wing extremism area,crpf,Constable,25,3,0.935,0.336919,0
SYNTH-CRPF-02-643903,CRPF-02,left-wing extremism area,crpf,Head Constable,33,9,0.8912,0.403301,0
SYNTH-CRPF-02-359189,CRPF-02,left-wing extremism area,crpf,Head Constable,28,5,0.4048,0.454234,0
SYNTH-CRPF-02-210630,CRPF-02,left-wing extremism area,crpf,Constable,24,1,0.8686,0.330677,0
SYNTH-CRPF-02-166627,CRPF-02,left-wing extremism area,crpf,Head Constable,30,6,0.5453,0.256145,0
SYNTH-CRPF-02-232443,CRPF-02,left-wing extremism area,crpf,Assistant Commandant,51,28,0.1449,0.319502,0
SYNTH-CRPF-02-937740,CRPF-02,left-wing extremism area,crpf,Sub-Inspector,40,19,0.8545,0.553955,1
SYNTH-CRPF-02-416560,CRPF-02,left-wing extremism area,crpf,Assistant Sub-Inspector,37,13,0.5186,0.069484,0
SYNTH-CRPF-02-998605,CRPF-02,left-wing extremism area,crpf,Assistant Sub-Inspector,38,14,0.4254,0.364307,0
SYNTH-CRPF-02-103787,CRPF-02,left-wing extremism area,crpf,Sub-Inspector,42,18,0.7402,0.127464,0
SYNTH-CRPF-02-789760,CRPF-02,left-wing extremism area,crpf,Head Constable,26,6,0.7208,0.312548,0
SYNTH-CRPF-02-327991,CRPF-02,left-wing extremism area,crpf,Head Constable,30,6,0.526,0.021703,0
SYNTH-CRPF-02-821671,CRPF-02,left-wing extremism area,crpf,Assistant Sub-Inspector,35,11,0.7137,0.133309,0
SYNTH-CRPF-02-146517,CRPF-02,left-wing extremism area,crpf,Head Constable,33,9,0.5271,0.39846,0
SYNTH-CRPF-02-654792,CRPF-02,left-wing extremism area,crpf,Inspector,46,22,0.6617,0.312699,0
SYNTH-CRPF-02-738384,CRPF-02,left-wing extremism area,crpf,Constable,27,3,0.474,0.398334,0
SYNTH-CRPF-02-501159,CRPF-02,left-wing extremism area,crpf,Head Constable,30,6,0.7377,0.103464,0
SYNTH-CRPF-02-903243,CRPF-02,left-wing extremism area,crpf,Assistant Commandant,51,27,0.6662,0.080112,0
SYNTH-CRPF-02-643385,CRPF-02,left-wing extremism area,crpf,Constable,25,3,0.4977,0.236259,0
SYNTH-CRPF-02-351896,CRPF-02,left-wing extremism area,crpf,Assistant Commandant,49,25,0.4793,0.202479,0
SYNTH-CRPF-02-732206,CRPF-02,left-wing extremism area,crpf,Head Constable,29,5,0.2703,0.057162,0
SYNTH-CRPF-02-791769,CRPF-02,left-wing extremism area,crpf,Inspector,42,21,0.5907,0.383977,0
SYNTH-CRPF-02-592982,CRPF-02,left-wing extremism area,crpf,Assistant Sub-Inspector,35,11,0.3878,0.122655,0
SYNTH-CRPF-03-503545,CRPF-03,election duty,crpf,Inspector,47,24,0.9778,0.24017,0
SYNTH-CRPF-03-310009,CRPF-03,election duty,crpf,Head Constable,30,9,0.9396,0.085708,0
SYNTH-CRPF-03-151438,CRPF-03,election duty,crpf,Inspector,45,23,0.9048,0.361666,0
SYNTH-CRPF-03-314555,CRPF-03,election duty,crpf,Assistant Sub-Inspector,36,13,0.3102,0.07633,0
SYNTH-CRPF-03-778563,CRPF-03,election duty,crpf,Sub-Inspector,39,15,0.9518,0.083069,0
SYNTH-CRPF-03-618684,CRPF-03,election duty,crpf,Assistant Commandant,48,25,0.4172,0.209324,0
SYNTH-CRPF-03-786473,CRPF-03,election duty,crpf,Assistant Commandant,51,28,0.733,0.283135,0
SYNTH-CRPF-03-744944,CRPF-03,election duty,crpf,Head Constable,30,6,0.7795,0.213421,0
SYNTH-CRPF-03-484908,CRPF-03,election duty,crpf,Assistant Commandant,46,26,0.7921,0.101949,0
SYNTH-CRPF-03-614293,CRPF-03,election duty,crpf,Assistant Sub-Inspector,35,12,0.9261,0.408175,0
SYNTH-CRPF-03-698669,CRPF-03,election duty,crpf,Constable,21,1,0.4226,0.395326,0
SYNTH-CRPF-03-920459,CRPF-03,election duty,crpf,Inspector,44,23,0.7731,0.251597,0
SYNTH-CRPF-03-335838,CRPF-03,election duty,crpf,Constable,26,4,0.8661,0.586598,1
SYNTH-CRPF-03-267902,CRPF-03,election duty,crpf,Assistant Sub-Inspector,35,14,0.5539,0.422949,0
SYNTH-CRPF-03-486692,CRPF-03,election duty,crpf,Sub-Inspector,42,19,0.9029,0.391669,0
SYNTH-CRPF-03-476190,CRPF-03,election duty,crpf,Head Constable,31,8,0.3404,0.11707,0
SYNTH-CRPF-03-491311,CRPF-03,election duty,crpf,Head Constable,27,5,0.558,0.42231,0
SYNTH-CRPF-03-484392,CRPF-03,election duty,crpf,Constable,26,3,0.7625,0.275982,0
SYNTH-CRPF-03-765796,CRPF-03,election duty,crpf,Inspector,40,20,0.5915,0.066976,0
SYNTH-CRPF-03-138822,CRPF-03,election duty,crpf,Inspector,42,22,0.9723,0.280508,0
SYNTH-CRPF-03-249421,CRPF-03,election duty,crpf,Assistant Commandant,51,27,0.6954,0.102986,0
SYNTH-CRPF-03-865645,CRPF-03,election duty,crpf,Inspector,41,21,0.8913,0.215744,0
SYNTH-CRPF-03-669256,CRPF-03,election duty,crpf,Sub-Inspector,41,18,0.9328,0.065809,0
SYNTH-CRPF-03-759247,CRPF-03,election duty,crpf,Assistant Sub-Inspector,33,11,0.8596,0.103225,0
SYNTH-CRPF-03-990476,CRPF-03,election duty,crpf,Head Constable,28,7,0.6936,0.36239,0
SYNTH-CRPF-03-721292,CRPF-03,election duty,crpf,Constable,27,4,0.8851,0.495272,0
SYNTH-CRPF-03-652884,CRPF-03,election duty,crpf,Inspector,45,22,0.3992,0.439185,0
SYNTH-CRPF-03-663741,CRPF-03,election duty,crpf,Constable,26,4,0.3801,0.097095,0
SYNTH-CRPF-03-553058,CRPF-03,election duty,crpf,Assistant Sub-Inspector,37,13,0.8197,0.0841,0
SYNTH-CRPF-03-629184,CRPF-03,election duty,crpf,Head Constable,30,6,0.6786,0.256319,0
SYNTH-CRPF-03-806708,CRPF-03,election duty,crpf,Sub-Inspector,37,15,0.6303,0.197816,0
SYNTH-CRPF-03-798371,CRPF-03,election duty,crpf,Assistant Commandant,49,25,0.7809,0.310022,0
SYNTH-CRPF-03-982503,CRPF-03,election duty,crpf,Sub-Inspector,37,16,0.9121,0.27535,0
SYNTH-CRPF-03-976987,CRPF-03,election duty,crpf,Constable,23,1,0.8781,0.089055,0
SYNTH-CRPF-03-727498,CRPF-03,election duty,crpf,Sub-Inspector,38,18,0.9764,0.335047,0
SYNTH-CRPF-03-823175,CRPF-03,election duty,crpf,Assistant Commandant,49,27,0.9453,0.140369,0
SYNTH-CRPF-03-831640,CRPF-03,election duty,crpf,Head Constable,30,9,0.465,0.218704,0
SYNTH-CRPF-03-728735,CRPF-03,election duty,crpf,Head Constable,29,8,0.7323,0.652706,1
SYNTH-CRPF-03-768502,CRPF-03,election duty,crpf,Constable,25,1,0.8124,0.134824,0
SYNTH-CRPF-03-609351,CRPF-03,election duty,crpf,Head Constable,33,9,0.672,0.427867,0
SYNTH-CRPF-03-907982,CRPF-03,election duty,crpf,Assistant Sub-Inspector,35,11,0.3604,0.705983,1
SYNTH-CRPF-03-522254,CRPF-03,election duty,crpf,Head Constable,25,5,0.7258,0.093702,0
SYNTH-CRPF-03-541931,CRPF-03,election duty,crpf,Inspector,45,24,0.6644,0.194912,0
SYNTH-CRPF-03-140950,CRPF-03,election duty,crpf,Assistant Commandant,47,27,0.3022,0.532042,0
SYNTH-CRPF-03-244752,CRPF-03,election duty,crpf,Assistant Sub-Inspector,35,12,0.5776,0.142281,0
SYNTH-CRPF-03-357572,CRPF-03,election duty,crpf,Inspector,47,24,0.558,0.141403,0
SYNTH-CRPF-03-665237,CRPF-03,election duty,crpf,Sub-Inspector,39,17,0.7119,0.117121,0
SYNTH-CRPF-03-660218,CRPF-03,election duty,crpf,Assistant Sub-Inspector,32,11,0.7754,0.335993,0
SYNTH-CRPF-03-316917,CRPF-03,election duty,crpf,Inspector,45,22,0.8579,0.429247,0
SYNTH-CRPF-03-500188,CRPF-03,election duty,crpf,Sub-Inspector,36,16,0.7834,0.259389,0
SYNTH-CRPF-03-312636,CRPF-03,election duty,crpf,Sub-Inspector,39,17,0.4615,0.152247,0
SYNTH-CRPF-03-288325,CRPF-03,election duty,crpf,Constable,23,1,0.3453,0.476601,0
SYNTH-CRPF-03-651214,CRPF-03,election duty,crpf,Assistant Commandant,46,25,0.8278,0.156415,0
SYNTH-CRPF-03-905455,CRPF-03,election duty,crpf,Head Constable,31,9,0.1636,0.282366,0
SYNTH-CRPF-03-461846,CRPF-03,election duty,crpf,Head Constable,29,8,0.5096,0.157128,0
SYNTH-CRPF-03-730262,CRPF-03,election duty,crpf,Inspector,46,22,0.5745,0.118314,0
SYNTH-CRPF-03-131822,CRPF-03,election duty,crpf,Sub-Inspector,40,18,0.4436,0.348649,0
SYNTH-CRPF-03-657645,CRPF-03,election duty,crpf,Assistant Sub-Inspector,31,10,0.2753,0.331177,0
SYNTH-CRPF-03-103886,CRPF-03,election duty,crpf,Head Constable,26,5,0.5851,0.290994,0
SYNTH-CRPF-03-961499,CRPF-03,election duty,crpf,Assistant Sub-Inspector,33,13,0.9567,0.401851,0
SYNTH-CRPF-03-753128,CRPF-03,election duty,crpf,Assistant Commandant,49,26,0.9608,0.043217,0
SYNTH-CRPF-03-953259,CRPF-03,election duty,crpf,Constable,25,2,0.3077,0.629994,1
SYNTH-CRPF-03-653875,CRPF-03,election duty,crpf,Assistant Sub-Inspector,37,14,0.7606,0.325305,0
SYNTH-CRPF-03-173206,CRPF-03,election duty,crpf,Constable,26,2,0.9042,0.19183,0
SYNTH-CRPF-03-222379,CRPF-03,election duty,crpf,Inspector,41,21,0.6022,0.345477,0
SYNTH-CRPF-03-735459,CRPF-03,election duty,crpf,Head Constable,25,5,0.6737,0.473084,0
SYNTH-CRPF-03-997253,CRPF-03,election duty,crpf,Inspector,45,21,0.7409,0.222047,0
SYNTH-CRPF-03-173988,CRPF-03,election duty,crpf,Head Constable,29,5,0.6248,0.241029,0
SYNTH-CRPF-03-746266,CRPF-03,election duty,crpf,Head Constable,28,8,0.8251,0.30872,0
SYNTH-CRPF-03-653743,CRPF-03,election duty,crpf,Constable,27,4,0.8875,0.244994,0
SYNTH-CRPF-03-871204,CRPF-03,election duty,crpf,Inspector,47,23,0.361,0.18739,0
SYNTH-CRPF-03-579302,CRPF-03,election duty,crpf,Head Constable,26,6,0.3812,0.275588,0
SYNTH-CRPF-03-433387,CRPF-03,election duty,crpf,Assistant Commandant,49,28,0.145,0.526553,0
SYNTH-CRPF-03-618148,CRPF-03,election duty,crpf,Assistant Sub-Inspector,36,14,0.6302,0.119671,0
SYNTH-CRPF-03-633722,CRPF-03,election duty,crpf,Sub-Inspector,35,15,0.8533,0.370839,0
SYNTH-CRPF-03-442364,CRPF-03,election duty,crpf,Assistant Sub-Inspector,34,13,0.6468,0.135101,0
SYNTH-CRPF-03-159288,CRPF-03,election duty,crpf,Sub-Inspector,42,18,0.9036,0.223891,0
SYNTH-CRPF-03-928758,CRPF-03,election duty,crpf,Assistant Sub-Inspector,35,11,0.3457,0.045446,0
SYNTH-CRPF-03-275196,CRPF-03,election duty,crpf,Sub-Inspector,41,18,0.2257,0.094167,0
SYNTH-CRPF-03-632721,CRPF-03,election duty,crpf,Assistant Commandant,48,26,0.5161,0.313788,0
SYNTH-CRPF-03-294179,CRPF-03,election duty,crpf,Head Constable,33,9,0.8148,0.088056,0
SYNTH-CRPF-03-815668,CRPF-03,election duty,crpf,Assistant Sub-Inspector,34,12,0.1364,0.381281,0
SYNTH-CRPF-03-146812,CRPF-03,election duty,crpf,Assistant Commandant,47,27,0.6175,0.34314,0
SYNTH-CRPF-03-890218,CRPF-03,election duty,crpf,Sub-Inspector,39,19,0.6744,0.180396,0
SYNTH-CRPF-03-235882,CRPF-03,election duty,crpf,Head Constable,30,8,0.6896,0.251229,0
SYNTH-CRPF-03-257699,CRPF-03,election duty,crpf,Sub-Inspector,38,17,0.8522,0.175332,0
SYNTH-CRPF-03-523600,CRPF-03,election duty,crpf,Inspector,44,24,0.8205,0.681108,1
SYNTH-CRPF-03-941941,CRPF-03,election duty,crpf,Head Constable,25,5,0.9722,0.116219,0
SYNTH-CRPF-03-891064,CRPF-03,election duty,crpf,Assistant Sub-Inspector,32,12,0.5283,0.479093,0
SYNTH-CRPF-03-158431,CRPF-03,election duty,crpf,Inspector,40,20,0.3625,0.460393,0
SYNTH-CRPF-03-698269,CRPF-03,election duty,crpf,Assistant Commandant,48,25,0.5418,0.054887,0
SYNTH-CRPF-03-473416,CRPF-03,election duty,crpf,Sub-Inspector,40,18,0.6256,0.097264,0
SYNTH-CRPF-03-156352,CRPF-03,election duty,crpf,Constable,21,1,0.8971,0.288492,0
SYNTH-CRPF-03-148135,CRPF-03,election duty,crpf,Head Constable,32,9,0.9249,0.13013,0
SYNTH-CRPF-03-444015,CRPF-03,election duty,crpf,Constable,26,3,0.6923,0.172951,0
SYNTH-CRPF-03-410908,CRPF-03,election duty,crpf,Sub-Inspector,37,16,0.7314,0.140385,0
SYNTH-CRPF-03-346597,CRPF-03,election duty,crpf,Inspector,46,23,0.6335,0.205761,0
SYNTH-CRPF-03-386779,CRPF-03,election duty,crpf,Assistant Sub-Inspector,35,13,0.5328,0.190862,0
SYNTH-CRPF-03-906890,CRPF-03,election duty,crpf,Sub-Inspector,42,18,0.9274,0.102817,0
SYNTH-CRPF-03-195684,CRPF-03,election duty,crpf,Head Constable,31,8,0.3929,0.224701,0
SYNTH-CRPF-03-213909,CRPF-03,election duty,crpf,Assistant Sub-Inspector,33,12,0.3042,0.209703,0
SYNTH-CRPF-03-405553,CRPF-03,election duty,crpf,Assistant Sub-Inspector,30,10,0.2241,0.150789,0
SYNTH-CRPF-03-354447,CRPF-03,election duty,crpf,Inspector,40,20,0.771,0.220554,0
SYNTH-CRPF-03-791489,CRPF-03,election duty,crpf,Inspector,47,23,0.3788,0.105175,0
SYNTH-CRPF-03-605052,CRPF-03,election duty,crpf,Assistant Commandant,48,27,0.8122,0.521121,0
SYNTH-CRPF-03-789451,CRPF-03,election duty,crpf,Head Constable,30,8,0.4682,0.029202,0
SYNTH-CRPF-03-728476,CRPF-03,election duty,crpf,Inspector,43,23,0.6062,0.224652,0
SYNTH-CRPF-03-646479,CRPF-03,election duty,crpf,Assistant Commandant,46,26,0.4761,0.287959,0
SYNTH-CRPF-03-849469,CRPF-03,election duty,crpf,Constable,27,4,0.4231,0.284331,0
SYNTH-CRPF-03-676901,CRPF-03,election duty,crpf,Constable,23,3,0.9064,0.160494,0
SYNTH-CRPF-03-767332,CRPF-03,election duty,crpf,Assistant Sub-Inspector,33,12,0.7044,0.200575,0
SYNTH-CRPF-03-676912,CRPF-03,election duty,crpf,Head Constable,29,6,0.4886,0.142947,0
SYNTH-CRPF-03-345906,CRPF-03,election duty,crpf,Head Constable,28,5,0.9775,0.105637,0
SYNTH-CRPF-03-606709,CRPF-03,election duty,crpf,Head Constable,29,8,0.5148,0.348774,0
SYNTH-CRPF-03-819490,CRPF-03,election duty,crpf,Head Constable,27,7,0.9252,0.458187,0
SYNTH-CRPF-03-364736,CRPF-03,election duty,crpf,Assistant Sub-Inspector,33,13,0.9783,0.393534,0
SYNTH-CRPF-03-900584,CRPF-03,election duty,crpf,Sub-Inspector,38,15,0.5115,0.16036,0
SYNTH-CRPF-03-391659,CRPF-03,election duty,crpf,Head Constable,30,7,0.6897,0.045954,0
SYNTH-CRPF-03-940555,CRPF-03,election duty,crpf,Assistant Commandant,51,27,0.6268,0.191499,0
SYNTH-CRPF-03-847335,CRPF-03,election duty,crpf,Assistant Commandant,49,28,0.3689,0.081017,0
SYNTH-CRPF-03-821953,CRPF-03,election duty,crpf,Inspector,42,20,0.829,0.133278,0
SYNTH-CRPF-03-864357,CRPF-03,election duty,crpf,Inspector,48,24,0.6665,0.461923,0
SYNTH-CRPF-03-617420,CRPF-03,election duty,crpf,Inspector,42,21,0.5804,0.553621,1
SYNTH-CRPF-03-849353,CRPF-03,election duty,crpf,Head Constable,26,5,0.4359,0.291412,0
SYNTH-CRPF-03-798677,CRPF-03,election duty,crpf,Inspector,46,22,0.3427,0.169934,0
SYNTH-CRPF-03-797725,CRPF-03,election duty,crpf,Inspector,44,23,0.4876,0.0682,0
SYNTH-CRPF-03-578147,CRPF-03,election duty,crpf,Inspector,45,22,0.2446,0.146923,0
SYNTH-CRPF-03-662063,CRPF-03,election duty,crpf,Assistant Commandant,48,26,0.5955,0.227169,0
SYNTH-CRPF-03-433985,CRPF-03,election duty,crpf,Assistant Sub-Inspector,34,10,0.3616,0.052388,0
SYNTH-CRPF-03-802698,CRPF-03,election duty,crpf,Sub-Inspector,36,16,0.8528,0.305971,0
SYNTH-CRPF-03-581648,CRPF-03,election duty,crpf,Assistant Commandant,47,27,0.7224,0.216036,0
SYNTH-CRPF-03-427040,CRPF-03,election duty,crpf,Constable,24,3,0.7326,0.458994,0
SYNTH-CRPF-03-605222,CRPF-03,election duty,crpf,Inspector,43,23,0.6544,0.269853,0
SYNTH-CRPF-03-874592,CRPF-03,election duty,crpf,Sub-Inspector,38,16,0.4131,0.230013,0
SYNTH-CRPF-03-609075,CRPF-03,election duty,crpf,Head Constable,26,6,0.5316,0.271635,0
SYNTH-CRPF-03-394210,CRPF-03,election duty,crpf,Sub-Inspector,43,19,0.6748,0.336816,0
SYNTH-CRPF-03-867370,CRPF-03,election duty,crpf,Head Constable,30,9,0.9667,0.281304,0
SYNTH-CRPF-03-472241,CRPF-03,election duty,crpf,Constable,26,3,0.6925,0.114998,0
SYNTH-CRPF-03-919381,CRPF-03,election duty,crpf,Constable,26,4,0.802,0.123009,0
SYNTH-CRPF-03-259910,CRPF-03,election duty,crpf,Assistant Sub-Inspector,33,12,0.4865,0.448473,0
SYNTH-CRPF-04-438847,CRPF-04,law and order deployment,crpf,Sub-Inspector,40,16,0.5822,0.033245,0
SYNTH-CRPF-04-832365,CRPF-04,law and order deployment,crpf,Inspector,46,24,0.7525,0.283037,0
SYNTH-CRPF-04-344530,CRPF-04,law and order deployment,crpf,Head Constable,32,9,0.7369,0.591704,1
SYNTH-CRPF-04-938386,CRPF-04,law and order deployment,crpf,Assistant Sub-Inspector,34,13,0.8099,0.160446,0
SYNTH-CRPF-04-659869,CRPF-04,law and order deployment,crpf,Assistant Commandant,46,25,0.6537,0.072815,0
SYNTH-CRPF-04-630176,CRPF-04,law and order deployment,crpf,Sub-Inspector,38,18,0.4391,0.086606,0
SYNTH-CRPF-04-921833,CRPF-04,law and order deployment,crpf,Assistant Sub-Inspector,34,11,0.3065,0.096261,0
SYNTH-CRPF-04-228029,CRPF-04,law and order deployment,crpf,Assistant Sub-Inspector,35,11,0.6069,0.416937,0
SYNTH-CRPF-04-649574,CRPF-04,law and order deployment,crpf,Head Constable,29,8,0.7877,0.015854,0
SYNTH-CRPF-04-545118,CRPF-04,law and order deployment,crpf,Assistant Sub-Inspector,35,12,0.9136,0.119812,0
SYNTH-CRPF-04-127295,CRPF-04,law and order deployment,crpf,Constable,24,3,0.2838,0.279805,0
SYNTH-CRPF-04-650628,CRPF-04,law and order deployment,crpf,Head Constable,29,7,0.9554,0.506556,0
SYNTH-CRPF-04-883779,CRPF-04,law and order deployment,crpf,Inspector,43,23,0.9551,0.229352,0
SYNTH-CRPF-04-613916,CRPF-04,law and order deployment,crpf,Assistant Sub-Inspector,36,14,0.8085,0.389435,0
SYNTH-CRPF-04-158986,CRPF-04,law and order deployment,crpf,Assistant Commandant,50,28,0.7078,0.21636,0
SYNTH-CRPF-04-158604,CRPF-04,law and order deployment,crpf,Head Constable,29,5,0.6427,0.145758,0
SYNTH-CRPF-04-783234,CRPF-04,law and order deployment,crpf,Assistant Commandant,52,28,0.2477,0.366766,0
SYNTH-CRPF-04-719753,CRPF-04,law and order deployment,crpf,Inspector,45,23,0.6612,0.141758,0
SYNTH-CRPF-04-528264,CRPF-04,law and order deployment,crpf,Constable,25,2,0.8744,0.274262,0
SYNTH-CRPF-04-184996,CRPF-04,law and order deployment,crpf,Head Constable,33,9,0.9082,0.453912,0
SYNTH-CRPF-04-737978,CRPF-04,law and order deployment,crpf,Constable,21,1,0.7615,0.051828,0
SYNTH-CRPF-04-867513,CRPF-04,law and order deployment,crpf,Assistant Sub-Inspector,34,14,0.8654,0.362042,0
SYNTH-CRPF-04-210658,CRPF-04,law and order deployment,crpf,Inspector,40,20,0.5741,0.174519,0
SYNTH-CRPF-04-248428,CRPF-04,law and order deployment,crpf,Assistant Sub-Inspector,37,14,0.8565,0.174835,0
SYNTH-CRPF-04-529835,CRPF-04,law and order deployment,crpf,Assistant Commandant,49,27,0.9866,0.294164,0
SYNTH-CRPF-04-407079,CRPF-04,law and order deployment,crpf,Assistant Commandant,49,28,0.7837,0.396181,0
SYNTH-CRPF-04-448975,CRPF-04,law and order deployment,crpf,Inspector,42,22,0.7312,0.094433,0
SYNTH-CRPF-04-892417,CRPF-04,law and order deployment,crpf,Constable,24,4,0.9067,0.02973,0
SYNTH-CRPF-04-127941,CRPF-04,law and order deployment,crpf,Head Constable,26,5,0.7,0.232847,0
SYNTH-CRPF-04-552372,CRPF-04,law and order deployment,crpf,Head Constable,30,7,0.3108,0.338644,0
SYNTH-CRPF-04-467841,CRPF-04,law and order deployment,crpf,Assistant Sub-Inspector,31,11,0.522,0.112105,0
SYNTH-CRPF-04-627595,CRPF-04,law and order deployment,crpf,Assistant Sub-Inspector,38,14,0.7217,0.198601,0
SYNTH-CRPF-04-846771,CRPF-04,law and order deployment,crpf,Constable,26,2,0.5327,0.226779,0
SYNTH-CRPF-04-676293,CRPF-04,law and order deployment,crpf,Assistant Sub-Inspector,37,14,0.4596,0.216598,0
SYNTH-CRPF-04-980391,CRPF-04,law and order deployment,crpf,Head Constable,29,7,0.921,0.395293,0
SYNTH-CRPF-04-218795,CRPF-04,law and order deployment,crpf,Assistant Sub-Inspector,33,13,0.82,0.210921,0
SYNTH-CRPF-04-422255,CRPF-04,law and order deployment,crpf,Inspector,45,22,0.5865,0.084807,0
SYNTH-CRPF-04-945724,CRPF-04,law and order deployment,crpf,Inspector,47,23,0.5732,0.183338,0
SYNTH-CRPF-04-852699,CRPF-04,law and order deployment,crpf,Constable,25,4,0.6813,0.1402,0
SYNTH-CRPF-04-922450,CRPF-04,law and order deployment,crpf,Sub-Inspector,41,18,0.6437,0.416241,0
SYNTH-CRPF-04-874836,CRPF-04,law and order deployment,crpf,Sub-Inspector,39,15,0.9631,0.084889,0
SYNTH-CRPF-04-464874,CRPF-04,law and order deployment,crpf,Constable,21,1,0.5049,0.10527,0
SYNTH-CRPF-04-575745,CRPF-04,law and order deployment,crpf,Assistant Commandant,51,27,0.9178,0.277562,0
SYNTH-CRPF-04-648453,CRPF-04,law and order deployment,crpf,Sub-Inspector,39,18,0.8755,0.202992,0
SYNTH-CRPF-04-317751,CRPF-04,law and order deployment,crpf,Sub-Inspector,38,17,0.4637,0.179032,0
SYNTH-CRPF-04-181372,CRPF-04,law and order deployment,crpf,Head Constable,29,8,0.992,0.010474,0
SYNTH-CRPF-04-594408,CRPF-04,law and order deployment,crpf,Head Constable,30,9,0.4909,0.710665,1
SYNTH-CRPF-04-987768,CRPF-04,law and order deployment,crpf,Head Constable,30,6,0.3201,0.255026,0
SYNTH-CRPF-04-419945,CRPF-04,law and order deployment,crpf,Head Constable,30,9,0.1028,0.166547,0
SYNTH-CRPF-04-401388,CRPF-04,law and order deployment,crpf,Assistant Commandant,46,25,0.851,0.1077,0
SYNTH-CRPF-04-440160,CRPF-04,law and order deployment,crpf,Inspector,48,24,0.8411,0.252374,0
SYNTH-CRPF-04-273873,CRPF-04,law and order deployment,crpf,Assistant Commandant,48,27,0.77,0.372364,0
SYNTH-CRPF-04-676111,CRPF-04,law and order deployment,crpf,Sub-Inspector,38,15,0.4784,0.261727,0
SYNTH-CRPF-04-259403,CRPF-04,law and order deployment,crpf,Sub-Inspector,37,15,0.8219,0.267747,0
SYNTH-CRPF-04-828181,CRPF-04,law and order deployment,crpf,Assistant Commandant,51,28,0.2076,0.54197,0
SYNTH-CRPF-04-227165,CRPF-04,law and order deployment,crpf,Head Constable,30,9,0.955,0.17317,0
SYNTH-CRPF-04-392301,CRPF-04,law and order deployment,crpf,Assistant Commandant,47,26,0.6936,0.133783,0
SYNTH-CRPF-04-270063,CRPF-04,law and order deployment,crpf,Sub-Inspector,36,15,0.3922,0.463349,0
SYNTH-CRPF-04-290507,CRPF-04,law and order deployment,crpf,Assistant Sub-Inspector,35,14,0.9383,0.1452,0
SYNTH-CRPF-04-346321,CRPF-04,law and order deployment,crpf,Sub-Inspector,39,18,0.4738,0.205524,0
SYNTH-CRPF-04-461604,CRPF-04,law and order deployment,crpf,Head Constable,28,7,0.9048,0.242772,0
SYNTH-CRPF-04-903058,CRPF-04,law and order deployment,crpf,Constable,25,4,0.6838,0.186416,0
SYNTH-CRPF-04-543797,CRPF-04,law and order deployment,crpf,Head Constable,30,8,0.8434,0.260731,0
SYNTH-CRPF-04-432653,CRPF-04,law and order deployment,crpf,Constable,25,2,0.6544,0.121129,0
SYNTH-CRPF-04-452339,CRPF-04,law and order deployment,crpf,Assistant Commandant,47,27,0.5014,0.232109,0
SYNTH-CRPF-04-705876,CRPF-04,law and order deployment,crpf,Assistant Commandant,47,27,0.8149,0.228236,0
SYNTH-CRPF-04-252968,CRPF-04,law and order deployment,crpf,Head Constable,29,8,0.9906,0.218073,0
SYNTH-CRPF-04-606954,CRPF-04,law and order deployment,crpf,Assistant Commandant,49,25,0.6965,0.270152,0
